clothing_id,product_name,rating,review_text,recommended_ind,positive_feedback_count,class_name
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,Absolutely gorgeous item! Exceeded my expectations.,1,0,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,Love this product! The quality is fantastic and fits perfectly.,1,8,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,5,Love this product! The quality is fantastic and fits perfectly.,1,7,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,"High quality fabric, beautiful color, would definitely buy again!",1,9,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,4,"Great purchase, looks amazing and very comfortable to wear.",1,6,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,5,Love this product! The quality is fantastic and fits perfectly.,1,1,General
84029E,RED WOOLLY HOTTIE WHITE HEART.,5,Love this product! The quality is fantastic and fits perfectly.,1,6,General
22752,SET 7 BABUSHKA NESTING BOXES,4,Absolutely gorgeous item! Exceeded my expectations.,1,7,General
22752,SET 7 BABUSHKA NESTING BOXES,4,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
22752,SET 7 BABUSHKA NESTING BOXES,4,"High quality fabric, beautiful color, would definitely buy again!",1,2,General
22752,SET 7 BABUSHKA NESTING BOXES,4,Love this product! The quality is fantastic and fits perfectly.,1,9,General
22752,SET 7 BABUSHKA NESTING BOXES,4,"High quality fabric, beautiful color, would definitely buy again!",1,9,General
22752,SET 7 BABUSHKA NESTING BOXES,5,"Great purchase, looks amazing and very comfortable to wear.",1,2,General
22752,SET 7 BABUSHKA NESTING BOXES,5,Love this product! The quality is fantastic and fits perfectly.,1,3,General
22752,SET 7 BABUSHKA NESTING BOXES,4,Absolutely gorgeous item! Exceeded my expectations.,1,6,General
22752,SET 7 BABUSHKA NESTING BOXES,4,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
22752,SET 7 BABUSHKA NESTING BOXES,5,Absolutely gorgeous item! Exceeded my expectations.,1,6,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,"Excellent item, super fast delivery and true to size.",1,9,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,Absolutely gorgeous item! Exceeded my expectations.,1,8,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,"High quality fabric, beautiful color, would definitely buy again!",1,9,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,"Excellent item, super fast delivery and true to size.",1,6,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,Love this product! The quality is fantastic and fits perfectly.,1,8,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,"High quality fabric, beautiful color, would definitely buy again!",1,8,General
21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,"Excellent item, super fast delivery and true to size.",1,8,General
22633,HAND WARMER UNION JACK,4,"High quality fabric, beautiful color, would definitely buy again!",1,4,General
22633,HAND WARMER UNION JACK,4,Love this product! The quality is fantastic and fits perfectly.,1,9,General
22633,HAND WARMER UNION JACK,5,"Excellent item, super fast delivery and true to size.",1,5,General
22633,HAND WARMER UNION JACK,5,Love this product! The quality is fantastic and fits perfectly.,1,0,General
22633,HAND WARMER UNION JACK,5,Love this product! The quality is fantastic and fits perfectly.,1,3,General
22633,HAND WARMER UNION JACK,5,"Excellent item, super fast delivery and true to size.",1,6,General
22633,HAND WARMER UNION JACK,4,"Great purchase, looks amazing and very comfortable to wear.",1,0,General
22633,HAND WARMER UNION JACK,4,Absolutely gorgeous item! Exceeded my expectations.,1,7,General
22632,HAND WARMER RED POLKA DOT,5,"Great purchase, looks amazing and very comfortable to wear.",1,5,General
22632,HAND WARMER RED POLKA DOT,5,Absolutely gorgeous item! Exceeded my expectations.,1,0,General
22632,HAND WARMER RED POLKA DOT,4,Love this product! The quality is fantastic and fits perfectly.,1,1,General
84879,ASSORTED COLOUR BIRD ORNAMENT,4,"Excellent item, super fast delivery and true to size.",1,7,General
84879,ASSORTED COLOUR BIRD ORNAMENT,4,"High quality fabric, beautiful color, would definitely buy again!",1,5,General
84879,ASSORTED COLOUR BIRD ORNAMENT,5,Absolutely gorgeous item! Exceeded my expectations.,1,1,General
84879,ASSORTED COLOUR BIRD ORNAMENT,4,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
84879,ASSORTED COLOUR BIRD ORNAMENT,5,Love this product! The quality is fantastic and fits perfectly.,1,5,General
84879,ASSORTED COLOUR BIRD ORNAMENT,4,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
84879,ASSORTED COLOUR BIRD ORNAMENT,4,"Excellent item, super fast delivery and true to size.",1,3,General
84879,ASSORTED COLOUR BIRD ORNAMENT,5,"High quality fabric, beautiful color, would definitely buy again!",1,2,General
22745,POPPY'S PLAYHOUSE BEDROOM ,3,Overpriced item. You can find better quality for half the price.,0,3,General
22745,POPPY'S PLAYHOUSE BEDROOM ,1,Overpriced for what it is. The material feels cheap for this price point.,0,7,General
22745,POPPY'S PLAYHOUSE BEDROOM ,3,Overpriced item. You can find better quality for half the price.,0,1,General
22745,POPPY'S PLAYHOUSE BEDROOM ,1,Overpriced item. You can find better quality for half the price.,0,8,General
22745,POPPY'S PLAYHOUSE BEDROOM ,2,Overpriced for what it is. The material feels cheap for this price point.,0,6,General
22745,POPPY'S PLAYHOUSE BEDROOM ,2,Felt ripped off. Cost too much for something that looks cheap.,0,9,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,"Excellent item, super fast delivery and true to size.",1,0,General
22748,POPPY'S PLAYHOUSE KITCHEN,4,"Great purchase, looks amazing and very comfortable to wear.",1,4,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,Absolutely gorgeous item! Exceeded my expectations.,1,6,General
22748,POPPY'S PLAYHOUSE KITCHEN,4,Love this product! The quality is fantastic and fits perfectly.,1,2,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,"High quality fabric, beautiful color, would definitely buy again!",1,2,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,"Excellent item, super fast delivery and true to size.",1,5,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,Love this product! The quality is fantastic and fits perfectly.,1,3,General
22748,POPPY'S PLAYHOUSE KITCHEN,4,"High quality fabric, beautiful color, would definitely buy again!",1,7,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,"Excellent item, super fast delivery and true to size.",1,7,General
22748,POPPY'S PLAYHOUSE KITCHEN,5,"Excellent item, super fast delivery and true to size.",1,2,General
22748,POPPY'S PLAYHOUSE KITCHEN,4,Love this product! The quality is fantastic and fits perfectly.,1,8,General
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,"Great purchase, looks amazing and very comfortable to wear.",1,2,General
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,Love this product! The quality is fantastic and fits perfectly.,1,0,General
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,5,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
22310,IVORY KNITTED MUG COSY ,4,"High quality fabric, beautiful color, would definitely buy again!",1,0,General
22310,IVORY KNITTED MUG COSY ,4,"Excellent item, super fast delivery and true to size.",1,2,General
22310,IVORY KNITTED MUG COSY ,4,Absolutely gorgeous item! Exceeded my expectations.,1,5,General
22310,IVORY KNITTED MUG COSY ,4,"High quality fabric, beautiful color, would definitely buy again!",1,1,General
22310,IVORY KNITTED MUG COSY ,5,Absolutely gorgeous item! Exceeded my expectations.,1,0,General
22310,IVORY KNITTED MUG COSY ,4,"Excellent item, super fast delivery and true to size.",1,0,General
22310,IVORY KNITTED MUG COSY ,5,Absolutely gorgeous item! Exceeded my expectations.,1,2,General
22310,IVORY KNITTED MUG COSY ,4,"Excellent item, super fast delivery and true to size.",1,0,General
22310,IVORY KNITTED MUG COSY ,5,Love this product! The quality is fantastic and fits perfectly.,1,4,General
22310,IVORY KNITTED MUG COSY ,5,"High quality fabric, beautiful color, would definitely buy again!",1,8,General
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,Ripped along the seam after just one wash. Poor material quality.,0,2,General
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,"Quality is poor, threads coming loose everywhere.",0,3,General
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,Color faded immediately after washing. Very rough fabric.,0,4,General
22623,BOX OF VINTAGE JIGSAW BLOCKS ,5,"High quality fabric, beautiful color, would definitely buy again!",1,1,General
22623,BOX OF VINTAGE JIGSAW BLOCKS ,5,Love this product! The quality is fantastic and fits perfectly.,1,5,General
22623,BOX OF VINTAGE JIGSAW BLOCKS ,4,"Great purchase, looks amazing and very comfortable to wear.",1,7,General
22622,BOX OF VINTAGE ALPHABET BLOCKS,4,"Great purchase, looks amazing and very comfortable to wear.",1,9,General
22622,BOX OF VINTAGE ALPHABET BLOCKS,5,"Great purchase, looks amazing and very comfortable to wear.",1,0,General
22622,BOX OF VINTAGE ALPHABET BLOCKS,4,Love this product! The quality is fantastic and fits perfectly.,1,5,General
22622,BOX OF VINTAGE ALPHABET BLOCKS,5,Absolutely gorgeous item! Exceeded my expectations.,1,6,General
21754,HOME BUILDING BLOCK WORD,5,Love this product! The quality is fantastic and fits perfectly.,1,9,General
21754,HOME BUILDING BLOCK WORD,5,Love this product! The quality is fantastic and fits perfectly.,1,3,General
21754,HOME BUILDING BLOCK WORD,5,Love this product! The quality is fantastic and fits perfectly.,1,2,General
21754,HOME BUILDING BLOCK WORD,5,"Excellent item, super fast delivery and true to size.",1,1,General
21755,LOVE BUILDING BLOCK WORD,4,"High quality fabric, beautiful color, would definitely buy again!",1,9,General
21755,LOVE BUILDING BLOCK WORD,5,Absolutely gorgeous item! Exceeded my expectations.,1,9,General
21755,LOVE BUILDING BLOCK WORD,5,"Great purchase, looks amazing and very comfortable to wear.",1,0,General
21755,LOVE BUILDING BLOCK WORD,5,"Excellent item, super fast delivery and true to size.",1,5,General
21755,LOVE BUILDING BLOCK WORD,5,"High quality fabric, beautiful color, would definitely buy again!",1,4,General
21755,LOVE BUILDING BLOCK WORD,5,Love this product! The quality is fantastic and fits perfectly.,1,4,General
21755,LOVE BUILDING BLOCK WORD,5,"Excellent item, super fast delivery and true to size.",1,4,General
21755,LOVE BUILDING BLOCK WORD,5,"Excellent item, super fast delivery and true to size.",1,3,General
21777,RECIPE BOX WITH METAL HEART,5,"Excellent item, super fast delivery and true to size.",1,1,General
21777,RECIPE BOX WITH METAL HEART,5,"Excellent item, super fast delivery and true to size.",1,2,General
21777,RECIPE BOX WITH METAL HEART,5,Love this product! The quality is fantastic and fits perfectly.,1,2,General
21777,RECIPE BOX WITH METAL HEART,5,"Excellent item, super fast delivery and true to size.",1,6,General
21777,RECIPE BOX WITH METAL HEART,4,"Great purchase, looks amazing and very comfortable to wear.",1,9,General
48187,DOORMAT NEW ENGLAND,1,Color faded immediately after washing. Very rough fabric.,0,4,General
48187,DOORMAT NEW ENGLAND,2,Disappointed with the material. Fabric is paper thin and see-through.,0,9,General
48187,DOORMAT NEW ENGLAND,3,Disappointed with the material. Fabric is paper thin and see-through.,0,1,General
48187,DOORMAT NEW ENGLAND,2,"Quality is poor, threads coming loose everywhere.",0,5,General
48187,DOORMAT NEW ENGLAND,1,"Quality is poor, threads coming loose everywhere.",0,7,General
48187,DOORMAT NEW ENGLAND,1,Disappointed with the material. Fabric is paper thin and see-through.,0,0,General
48187,DOORMAT NEW ENGLAND,1,"Quality is poor, threads coming loose everywhere.",0,6,General
48187,DOORMAT NEW ENGLAND,3,"Quality is poor, threads coming loose everywhere.",0,4,General
48187,DOORMAT NEW ENGLAND,1,Ripped along the seam after just one wash. Poor material quality.,0,6,General
22960,JAM MAKING SET WITH JARS,5,Absolutely gorgeous item! Exceeded my expectations.,1,8,General
22960,JAM MAKING SET WITH JARS,5,Absolutely gorgeous item! Exceeded my expectations.,1,4,General
22960,JAM MAKING SET WITH JARS,5,Love this product! The quality is fantastic and fits perfectly.,1,3,General
22960,JAM MAKING SET WITH JARS,5,Absolutely gorgeous item! Exceeded my expectations.,1,9,General
22960,JAM MAKING SET WITH JARS,5,"Great purchase, looks amazing and very comfortable to wear.",1,4,General
22913,RED COAT RACK PARIS FASHION,4,Absolutely gorgeous item! Exceeded my expectations.,1,9,General
22913,RED COAT RACK PARIS FASHION,5,"Great purchase, looks amazing and very comfortable to wear.",1,4,General
22913,RED COAT RACK PARIS FASHION,5,"Excellent item, super fast delivery and true to size.",1,3,General
22912,YELLOW COAT RACK PARIS FASHION,5,"Great purchase, looks amazing and very comfortable to wear.",1,0,General
22912,YELLOW COAT RACK PARIS FASHION,4,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
22912,YELLOW COAT RACK PARIS FASHION,4,"Great purchase, looks amazing and very comfortable to wear.",1,3,General
22912,YELLOW COAT RACK PARIS FASHION,5,"Excellent item, super fast delivery and true to size.",1,2,General
22912,YELLOW COAT RACK PARIS FASHION,4,"Excellent item, super fast delivery and true to size.",1,0,General
22914,BLUE COAT RACK PARIS FASHION,3,Overpriced item. You can find better quality for half the price.,0,0,General
22914,BLUE COAT RACK PARIS FASHION,2,Overpriced for what it is. The material feels cheap for this price point.,0,1,General
22914,BLUE COAT RACK PARIS FASHION,3,Overpriced for what it is. The material feels cheap for this price point.,0,1,General
22914,BLUE COAT RACK PARIS FASHION,3,Felt ripped off. Cost too much for something that looks cheap.,0,0,General
22914,BLUE COAT RACK PARIS FASHION,1,Not worth the money. Very expensive for such basic quality.,0,9,General
22914,BLUE COAT RACK PARIS FASHION,2,Not worth the money. Very expensive for such basic quality.,0,1,General
22914,BLUE COAT RACK PARIS FASHION,1,Felt ripped off. Cost too much for something that looks cheap.,0,6,General
21756,BATH BUILDING BLOCK WORD,4,"Great purchase, looks amazing and very comfortable to wear.",1,7,General
21756,BATH BUILDING BLOCK WORD,4,"Excellent item, super fast delivery and true to size.",1,4,General
21756,BATH BUILDING BLOCK WORD,4,Absolutely gorgeous item! Exceeded my expectations.,1,3,General
21756,BATH BUILDING BLOCK WORD,4,"Great purchase, looks amazing and very comfortable to wear.",1,8,General
21756,BATH BUILDING BLOCK WORD,4,"High quality fabric, beautiful color, would definitely buy again!",1,2,General
21756,BATH BUILDING BLOCK WORD,5,"Excellent item, super fast delivery and true to size.",1,0,General
21756,BATH BUILDING BLOCK WORD,5,Absolutely gorgeous item! Exceeded my expectations.,1,0,General
22728,ALARM CLOCK BAKELIKE PINK,3,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,8,General
22728,ALARM CLOCK BAKELIKE PINK,1,Sizing is completely off. It fits loose around the waist but tight on shoulders.,0,0,General
22728,ALARM CLOCK BAKELIKE PINK,1,Sizing is completely off. It fits loose around the waist but tight on shoulders.,0,5,General
22728,ALARM CLOCK BAKELIKE PINK,3,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,2,General
22728,ALARM CLOCK BAKELIKE PINK,1,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,8,General
22728,ALARM CLOCK BAKELIKE PINK,1,The fit is very awkward and much shorter than shown in photos.,0,6,General
22728,ALARM CLOCK BAKELIKE PINK,2,Runs very large and baggy. Had to return it for a smaller size.,0,3,General
22728,ALARM CLOCK BAKELIKE PINK,2,The fit is very awkward and much shorter than shown in photos.,0,4,General
22728,ALARM CLOCK BAKELIKE PINK,3,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,8,General
22727,ALARM CLOCK BAKELIKE RED ,1,Runs very large and baggy. Had to return it for a smaller size.,0,6,General
22727,ALARM CLOCK BAKELIKE RED ,1,Runs very large and baggy. Had to return it for a smaller size.,0,6,General
22727,ALARM CLOCK BAKELIKE RED ,1,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,9,General
22727,ALARM CLOCK BAKELIKE RED ,3,Sizing is completely off. It fits loose around the waist but tight on shoulders.,0,9,General
22727,ALARM CLOCK BAKELIKE RED ,3,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,6,General
22727,ALARM CLOCK BAKELIKE RED ,3,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,1,General
22727,ALARM CLOCK BAKELIKE RED ,1,The fit is very awkward and much shorter than shown in photos.,0,9,General
22726,ALARM CLOCK BAKELIKE GREEN,2,Overpriced for what it is. The material feels cheap for this price point.,0,6,General
22726,ALARM CLOCK BAKELIKE GREEN,1,Not worth the money. Very expensive for such basic quality.,0,7,General
22726,ALARM CLOCK BAKELIKE GREEN,1,Not worth the money. Very expensive for such basic quality.,0,1,General
21724,PANDA AND BUNNIES STICKER SHEET,1,Disappointed with the material. Fabric is paper thin and see-through.,0,4,General
21724,PANDA AND BUNNIES STICKER SHEET,3,Ripped along the seam after just one wash. Poor material quality.,0,7,General
21724,PANDA AND BUNNIES STICKER SHEET,1,"Quality is poor, threads coming loose everywhere.",0,0,General
21724,PANDA AND BUNNIES STICKER SHEET,1,Ripped along the seam after just one wash. Poor material quality.,0,6,General
21883,STARS GIFT TAPE ,2,"Quality is poor, threads coming loose everywhere.",0,2,General
21883,STARS GIFT TAPE ,2,Disappointed with the material. Fabric is paper thin and see-through.,0,6,General
21883,STARS GIFT TAPE ,2,Color faded immediately after washing. Very rough fabric.,0,9,General
21883,STARS GIFT TAPE ,3,Color faded immediately after washing. Very rough fabric.,0,2,General
21883,STARS GIFT TAPE ,1,Disappointed with the material. Fabric is paper thin and see-through.,0,1,General
21883,STARS GIFT TAPE ,2,"Quality is poor, threads coming loose everywhere.",0,9,General
10002,INFLATABLE POLITICAL GLOBE ,3,Overpriced for what it is. The material feels cheap for this price point.,0,8,General
10002,INFLATABLE POLITICAL GLOBE ,1,Felt ripped off. Cost too much for something that looks cheap.,0,2,General
10002,INFLATABLE POLITICAL GLOBE ,2,Overpriced for what it is. The material feels cheap for this price point.,0,8,General
10002,INFLATABLE POLITICAL GLOBE ,1,Felt ripped off. Cost too much for something that looks cheap.,0,8,General
10002,INFLATABLE POLITICAL GLOBE ,1,Overpriced item. You can find better quality for half the price.,0,5,General
10002,INFLATABLE POLITICAL GLOBE ,2,Overpriced for what it is. The material feels cheap for this price point.,0,9,General
10002,INFLATABLE POLITICAL GLOBE ,1,Overpriced item. You can find better quality for half the price.,0,4,General
10002,INFLATABLE POLITICAL GLOBE ,2,Overpriced item. You can find better quality for half the price.,0,4,General
10002,INFLATABLE POLITICAL GLOBE ,1,Felt ripped off. Cost too much for something that looks cheap.,0,3,General
10002,INFLATABLE POLITICAL GLOBE ,3,Felt ripped off. Cost too much for something that looks cheap.,0,3,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,Love this product! The quality is fantastic and fits perfectly.,1,0,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,Absolutely gorgeous item! Exceeded my expectations.,1,5,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,"High quality fabric, beautiful color, would definitely buy again!",1,6,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,4,Love this product! The quality is fantastic and fits perfectly.,1,9,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,"Excellent item, super fast delivery and true to size.",1,4,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,"Great purchase, looks amazing and very comfortable to wear.",1,3,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,"Great purchase, looks amazing and very comfortable to wear.",1,9,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,"Excellent item, super fast delivery and true to size.",1,4,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,Love this product! The quality is fantastic and fits perfectly.,1,5,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,4,Love this product! The quality is fantastic and fits perfectly.,1,0,General
21791,VINTAGE HEADS AND TAILS CARD GAME ,5,Absolutely gorgeous item! Exceeded my expectations.,1,2,General
21035,SET/2 RED RETROSPOT TEA TOWELS ,1,Felt ripped off. Cost too much for something that looks cheap.,0,8,General
21035,SET/2 RED RETROSPOT TEA TOWELS ,2,Not worth the money. Very expensive for such basic quality.,0,7,General
21035,SET/2 RED RETROSPOT TEA TOWELS ,2,Not worth the money. Very expensive for such basic quality.,0,4,General
21035,SET/2 RED RETROSPOT TEA TOWELS ,1,Felt ripped off. Cost too much for something that looks cheap.,0,5,General
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,Felt ripped off. Cost too much for something that looks cheap.,0,9,General
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,Felt ripped off. Cost too much for something that looks cheap.,0,5,General
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,Felt ripped off. Cost too much for something that looks cheap.,0,0,General
22629,SPACEBOY LUNCH BOX ,3,Overpriced for what it is. The material feels cheap for this price point.,0,0,General
22629,SPACEBOY LUNCH BOX ,3,Overpriced for what it is. The material feels cheap for this price point.,0,5,General
22629,SPACEBOY LUNCH BOX ,1,Overpriced item. You can find better quality for half the price.,0,4,General
22629,SPACEBOY LUNCH BOX ,1,Felt ripped off. Cost too much for something that looks cheap.,0,5,General
22659,LUNCH BOX I LOVE LONDON,1,Disappointed with the material. Fabric is paper thin and see-through.,0,4,General
22659,LUNCH BOX I LOVE LONDON,2,Ripped along the seam after just one wash. Poor material quality.,0,2,General
22659,LUNCH BOX I LOVE LONDON,1,Disappointed with the material. Fabric is paper thin and see-through.,0,8,General
22659,LUNCH BOX I LOVE LONDON,1,Ripped along the seam after just one wash. Poor material quality.,0,2,General
22659,LUNCH BOX I LOVE LONDON,1,Disappointed with the material. Fabric is paper thin and see-through.,0,3,General
22659,LUNCH BOX I LOVE LONDON,1,Ripped along the seam after just one wash. Poor material quality.,0,0,General
22659,LUNCH BOX I LOVE LONDON,2,"Quality is poor, threads coming loose everywhere.",0,7,General
22659,LUNCH BOX I LOVE LONDON,2,Color faded immediately after washing. Very rough fabric.,0,9,General
22659,LUNCH BOX I LOVE LONDON,2,Ripped along the seam after just one wash. Poor material quality.,0,5,General
22631,CIRCUS PARADE LUNCH BOX ,1,Overpriced item. You can find better quality for half the price.,0,5,General
22631,CIRCUS PARADE LUNCH BOX ,1,Overpriced item. You can find better quality for half the price.,0,8,General
22631,CIRCUS PARADE LUNCH BOX ,3,Overpriced for what it is. The material feels cheap for this price point.,0,6,General
22631,CIRCUS PARADE LUNCH BOX ,1,Felt ripped off. Cost too much for something that looks cheap.,0,4,General
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,The fit is very awkward and much shorter than shown in photos.,0,1,General
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,Sizing is completely off. It fits loose around the waist but tight on shoulders.,0,1,General
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,Sizing is completely off. It fits loose around the waist but tight on shoulders.,0,2,General
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,The fit is very awkward and much shorter than shown in photos.,0,3,General
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,"Way too small! Order at least two sizes up, the sleeves are very tight.",0,0,General
21731,RED TOADSTOOL LED NIGHT LIGHT,3,Not worth the money. Very expensive for such basic quality.,0,0,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Overpriced for what it is. The material feels cheap for this price point.,0,3,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Not worth the money. Very expensive for such basic quality.,0,9,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Overpriced for what it is. The material feels cheap for this price point.,0,1,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Not worth the money. Very expensive for such basic quality.,0,1,General
21731,RED TOADSTOOL LED NIGHT LIGHT,2,Overpriced for what it is. The material feels cheap for this price point.,0,2,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Felt ripped off. Cost too much for something that looks cheap.,0,6,General
21731,RED TOADSTOOL LED NIGHT LIGHT,3,Felt ripped off. Cost too much for something that looks cheap.,0,5,General
21731,RED TOADSTOOL LED NIGHT LIGHT,1,Overpriced item. You can find better quality for half the price.,0,2,General
22900, SET 2 TEA TOWELS I LOVE LONDON ,2,Disappointed with the material. Fabric is paper thin and see-through.,0,2,General
22900, SET 2 TEA TOWELS I LOVE LONDON ,1,Color faded immediately after washing. Very rough fabric.,0,4,General
22900, SET 2 TEA TOWELS I LOVE LONDON ,2,Ripped along the seam after just one wash. Poor material quality.,0,5,General
22900, SET 2 TEA TOWELS I LOVE LONDON ,2,Disappointed with the material. Fabric is paper thin and see-through.,0,0,General
